requirement_id,module,requirement,implementation,test,result,evidence,finding_id
AUTH-F01,Authentication,Controlled-pilot public registration is disabled,shared_platform/app/config.py and POST /api/v1/auth/register,shared_platform.tests.test_platform.PlatformTests.test_closed_pilot_disables_registration_and_email_availability,PASS,"API returns 403 when BANTAI_PUBLIC_REGISTRATION_ENABLED=false; production compose sets false",
AUTH-F02,Authentication,Valid and invalid login create or reject sessions,shared_platform/app/main.py login route and WebSession model,shared_platform.tests.test_platform.PlatformTests.test_login_pair_ingest_and_personal_dashboard; test_registration_is_active_immediately_and_email_account_flows_are_absent,PASS,"Session cookies, CSRF cookie, password verification, and 401/403 paths covered",
AUTH-F03,Authentication,Logout revokes the web session,shared_platform/app/main.py logout route,shared_platform.tests.test_platform.PlatformTests.test_profile_name_and_password_change; test_suspension_revokes_user_session_and_device,PASS,"Revoked session and suspended account are rejected by current_web_user",
AUTH-F04,Authentication,Protected routes enforce backend session authorization,shared_platform/app/dependencies.py and endpoint dependencies,shared_platform.tests.test_platform.PlatformTests.test_regular_user_cannot_access_admin_api,PASS,"Backend dependencies are authoritative; frontend gating is not relied upon",
AUTH-F05,Authentication,Closed pilot UI must not invite unavailable registration,web/app/views/AuthView.jsx and HelpView.jsx,Local browser smoke at /login and /register; rendered-html.test.mjs,FAIL,"UI still shows Create an account and renders registration while API/config reject it",AUTH-F001
PAIR-F01,Pairing,Authenticated user creates a five-minute one-time pairing code,POST /api/v1/pairing,shared_platform.tests.test_platform.PlatformTests.test_login_pair_ingest_and_personal_dashboard,PASS,"Code creation and session/CSRF protection covered",
PAIR-F02,Pairing,Extension consumes valid/invalid/expired/single-use codes,POST /api/v1/extension/pair and /api/v1/pairing/consume,shared_platform.tests.test_platform.PlatformTests.test_registration_is_active_immediately_and_email_account_flows_are_absent; test_device_revocation_stops_remote_detection_requests,PASS,"Pairing returns device credential once; invalid/revoked paths covered",
PAIR-F03,Pairing,Revocation and suspension stop device calls,PairedDevice.revoked_at and current_device,shared_platform.tests.test_platform.PlatformTests.test_device_revocation_stops_remote_detection_requests; test_suspension_revokes_user_session_and_device,PASS,"Subsequent device authentication is rejected",
URL-F01,URL Detection,Only exact active address-bar HTTP/HTTPS URL is analyzed,extension/background/service-worker.js and detector URL schema,test_project_invariants.ProjectInvariantTests.test_url_detector_uses_address_bar_url_only; test_extension_endpoint.ExtensionEndpointTests.test_https_deployment,PASS,"Scope marker CURRENT_ADDRESS_BAR_URL_ONLY and remote /detections/url path verified",
URL-F02,URL Detection,Frozen RF model validates URL and applies threshold,backend/server.py and backend/bantai_inference.py,test_url_model_grouped_v1.GroupedUrlModelContractTests.*; verify_models.py,PASS,"52-feature schema, hash, label mapping, threshold 0.547, and shadow mode pass",
URL-F03,URL Detection,URL local/cloud fusion preserves failure states,backend/url_fusion_engine.py and public URL route,test_url_fusion_engine.UrlFusionEngineTests.*; test_hybrid_partial_failure.HybridPartialFailureTests.test_url_failure_preserves_local_email_and_still_requests_cloud_review,PASS,"Safe, caution, warning, and cloud-unavailable combinations covered",
URL-F04,URL Detection,Invalid/unsupported/internal URL behavior is explicit,extension canScanAddressBarUrl and backend URL validation,test_url_model_grouped_v1.GroupedUrlModelContractTests.test_malformed_rejection_and_repaired_url; test_url_display.UrlDisplayTests.test_only_completed_fusion_can_be_displayed,PASS,"Synthetic malformed and non-web states do not become SAFE",
URL-F05,URL Detection,Navigation and response correlation prevent stale results,service-worker sequences and current-tab checks,test_project_invariants.ProjectInvariantTests.test_automatic_popup_is_not_reopened_by_focus_or_same_result; test_sender_authentication.SenderAuthenticationTests.test_worker_restart_preserves_authentication_identity_and_popup_deduplication,PASS,"Static/invariant coverage confirms sequence/fingerprint guards; live navigation not exercised",
EMAIL-F01,Email Extraction,Support Gmail Outlook and Yahoo only,provider content extractors and worker provider map,test_project_invariants.ProjectInvariantTests.test_email_detector_provider_scope_is_unchanged; sender-authentication tests,PASS,"Provider scope and parser/spoofing guards pass with sanitized fixtures",
EMAIL-F02,Email Extraction,Opened-message extraction rejects unrelated/empty content,provider extractors and worker state handling,test_sender_authentication.SenderAuthenticationTests.test_provider_parsers_and_body_spoofing_guards; test_hybrid_partial_failure,PASS,"Synthetic provider parser and body guards pass; live provider DOM not tested",
