table,columns,personal_data,sensitive_data,encryption,foreign_key_owner,retention,deletion_behavior,administrator_visibility
users,"id email names password_hash role status consent timestamps explanation counter","email and names","password verifier consent state",password HASHED Argon2id; other listed fields PLAINTEXT,"primary user","not defined","no account-delete route found","full account profile via admin users"
web_sessions,"id user_id token_hash csrf_hash expiry revoked created","account link/session metadata","session and CSRF verifier hashes",HASHED SHA-256,"user_id -> users","24 hours plus cleanup","logout/password change/suspension revoke; cleanup removes expired or revoked","not returned as records"
pairing_codes,"id user_id code_hash expiry consumed created","account link","pairing-code hash",HASHED SHA-256,"user_id -> users","5 minutes/consumed","cleanup deletes expired or consumed","not exposed"
paired_devices,"id user_id token_hash label timestamps revoked","device label/account link","device credential hash",HASHED SHA-256,"user_id -> users","not defined","revocation only; no row deletion","aggregate device counts with account; owner device list"
rate_limit_buckets,"key_hash window_started request_count updated","pseudonymous credential/account/network-derived key","rate-limit behavior",HMAC blind index,"none","1 day","startup/daily cleanup","not exposed"
activity_events,"owner/device IDs fingerprints provider encrypted origin/sender/subject outcome/cloud/timestamps","origin sender subject provider behavioral history","email/URL metadata",AES-256-GCM for content fields; keyed fingerprint,"user_id and device_id","90 days","startup/daily cleanup; account cascade","aggregate dashboard only; owner sees own plaintext-decrypted history"
automatic_training_samples,"owner/device IDs encrypted full URL or email fields fingerprint consent/outcome/timestamps","full URL or email sender/subject/body","private email body",AES-256-GCM content fields,"user_id and device_id","90 days","opt-out deletes owner samples; retention cleanup","admin inventory and export expose URL or email sender/subject but not email body"
url_reports,"owner/activity ID encrypted full URL fingerprint outcome/feedback/review","full URL and report metadata","query/fragment can contain identifiers",AES-256-GCM URL,"user_id; optional activity","90 days","retention cleanup","admin report queue sees full decrypted URL; no reporter identity"
url_training_candidates,"encrypted full URL fingerprint labels/outcome/timestamps","full reported URL","query/fragment can contain identifiers",AES-256-GCM URL,"none; de-identified","not defined","no deletion/retention path found","admin inventory and CSV export expose full URL"
email_reports,"owner/activity ID provider encrypted sender/subject/body ciphertext fingerprint labels/review","sender subject and email body","private email content",AES-256-GCM encrypted fields,"user_id; optional activity","90 days","retention cleanup","admin/user metadata views decrypt sender/subject; body unavailable through APIs"
email_training_candidates,"provider encrypted sender/subject/body ciphertext fingerprint labels/timestamps","sender subject and email body","private email content",AES-256-GCM encrypted fields,"none; de-identified","not defined","no deletion/retention path found","admin inventory/export decrypt sender/subject; body unavailable through APIs"
alembic_version,"version_num","none observed","none",PLAINTEXT,"none","migration lifecycle","migration-controlled","not applicable"
process memory,"transient detection contexts and detector/cloud caches","full email/URL input plus results during TTL","private email body","memory only","keyed user/device/detection or hash","300 seconds detector cache; 600 seconds platform/cloud default","TTL/LRU/process restart/device context clear","matching authenticated owner/device only"
browser storage,"device credential local; tab states/access/diagnostics/session popup markers","device token; full current URL; sender/subject/result metadata","bearer credential and webmail URL","credential plaintext in trusted extension storage; session state not encrypted by extension","extension context/tab ID","credential until disconnect/revocation; tab state removed on tab close; browser-session behavior not live verified","disconnect/revocation clear state and credential","trusted extension contexts; content scripts not granted storage access"
container/log sinks,"structured security events and startup/error output","opaque principal/request IDs if event logging configured","operational behavior metadata","structured event payload uses keyed opaque IDs","operator-controlled","not defined in repository","not defined","operator/log sink dependent"
