method,path,component,auth_required,auth_type,role,csrf,rate_limit,input_limit,sensitive_data,security_notes
GET,/health,public-platform,no,none,none,no,none,none,cloud readiness and version,Public operational probe; no keys tested
GET,/live,public-platform,no,none,none,no,none,none,service version,Public liveness probe
GET,/ready,public-platform,no,none,none,no,none,none,detector and cloud readiness,Public detailed readiness; API-SEC-001 informational
GET,/api/v1/public-config,public-platform,no,none,none,no,none,none,registration capability,Only non-secret flag
POST,/api/v1/auth/register,public-platform,no,none,none,no,20/account plus 100/network per 5m,strict RegisterRequest,account profile/password,Disabled in production pilot; Argon2 hash
POST,/api/v1/auth/email-availability,public-platform,no,none,none,no,20/account plus 100/network per 5m,strict EmailRequest,email availability,Disabled in production pilot
POST,/api/v1/auth/login,public-platform,no,none,none,no,20/account plus 100/network per 5m,strict LoginRequest,email/password/session cookies,Uniform response but AUTH-SEC-001 timing condition
POST,/api/v1/auth/logout,public-platform,yes,cookie session,user,yes,none,no body,session cookies,Revokes current session
GET,/api/v1/auth/me,public-platform,yes,cookie session,user,no,none,none,own profile,Returns own user view only
PATCH,/api/v1/profile,public-platform,yes,cookie session,user,yes,none,strict ProfileUpdateRequest,own profile,Extra fields forbidden
POST,/api/v1/profile/change-password,public-platform,yes,cookie session,user,yes,none,strict ChangePasswordRequest,password/session state,Revokes other sessions
GET,/api/v1/training-consent,public-platform,yes,cookie session,user,no,none,none,own consent/sample count,Owner scoped
PATCH,/api/v1/training-consent,public-platform,yes,cookie session,user,yes,none,strict TrainingConsentUpdateRequest,own consent/samples,Withdraw deletes own automatic samples
POST,/api/v1/pairing,public-platform,yes,cookie session,user,yes,none,no body,pairing code,Five-minute single-use code; creation not rate limited
POST,/api/v1/extension/pair,public-platform,no,pairing code,none,no,20/IP per 5m,strict PairingConsumeRequest,pairing code/device bearer token,Alias of pairing consume; one-time code required
POST,/api/v1/pairing/consume,public-platform,no,pairing code,none,no,20/IP per 5m,strict PairingConsumeRequest,pairing code/device bearer token,One-time code required
GET,/api/v1/extension/status,public-platform,yes,device bearer,paired device,no,none,none,own device/email/readiness,No admin access
DELETE,/api/v1/extension/device,public-platform,yes,device bearer,paired device,no,none,no body,own device credential,Self-revokes device
GET,/api/v1/devices,public-platform,yes,cookie session,user,no,none,none,own device list,Owner filter
GET,/api/v1/device-status,public-platform,yes,device bearer,paired device,no,none,none,own device ID/cloud readiness,No user/admin data
GET,/api/v1/training-consent/device,public-platform,yes,device bearer,paired device,no,none,none,own consent state,Owner bound through device
DELETE,/api/v1/devices/{device_id},public-platform,yes,cookie session,user,yes,none,UUID path,own device ID,Owner predicate; foreign ID returns 404
POST,/api/v1/detections/url,public-platform,yes,device bearer,paired device,no,120/device per 5m,strict URL request; URL max 2048,raw URL transiently/detection metadata,No server-side target fetch; durable origin is encrypted
POST,/api/v1/detections/email,public-platform,yes,device bearer,paired device,no,120/device per 5m,strict email request; body max 50000,raw email transiently/redacted cloud context,Cloud enforced server-side; activity has no body
POST,/api/v1/detections/email/context,public-platform,yes,device bearer,paired device,no,none,strict email request; body max 50000,transient email context,Restores only matching device/event fingerprint
POST,/api/v1/activities,public-platform,yes,device bearer,paired device,no,none,strict batch max 100,encrypted activity metadata,Legacy ingestion; owner/device bound
POST,/api/v1/training-samples,public-platform,yes,device bearer,paired device,no,none,strict automatic sample request,encrypted opted-in training content,Legacy/controlled route; consent rechecked
GET,/api/v1/activities,public-platform,yes,cookie session,user,no,none,bounded pagination/query enums,own encrypted activity metadata decrypted for owner,Owner filter and bounded search
