data_id,data_category,example,source,purpose,component,transient_or_persistent,storage_location,encrypted,retention,access_roles,external_transfer,deletion_path,privacy_risk,evidence
PD-001,Account email,"user email address",registration or administrator provisioning,account identity and sign-in,public platform,persistent,users.email,PLAINTEXT,not defined,user and administrator,"web platform only",no account deletion route found,medium,"shared_platform/app/models.py:users; main.py:user_view"
PD-002,Account name,"first middle last name",registration or profile update,profile display and administration,public platform,persistent,users first_name middle_name last_name,PLAINTEXT,not defined,user and administrator,none,profile update only; no account deletion route found,medium,"models.py:User; main.py:profile routes"
PD-003,Password credential,"password verifier",registration or password change,authentication,public platform,persistent,users.password_hash,HASHED Argon2id,account lifetime; not otherwise defined,platform authentication only,none,deleted only with account if implemented,medium,"security.py:PasswordHasher; models.py:User"
PD-004,Web session,"opaque session and CSRF token hashes",login,authenticated dashboard session,public platform,persistent,web_sessions.token_hash and csrf_hash,HASHED SHA-256,24-hour expiry and startup/daily cleanup,user session validation only,web browser cookies,expiry logout password change suspension and cleanup,medium,"config.py:session_hours; main.py:cleanup_expired; dependencies.py"
PD-005,Pairing code,"eight-character one-time code",dashboard pairing action,bind extension to account,public platform,persistent,pairing_codes.code_hash,HASHED SHA-256,5 minutes or consumption; cleanup,user and platform,extension pairing response,consumption/expiry cleanup,medium,"main.py:create_pairing and cleanup_expired"
PD-006,Device credential,"opaque bearer credential",pairing exchange,authenticate extension,extension and public platform,persistent,"paired_devices.token_hash; chrome.storage.local",HASHED server-side / plaintext only in trusted extension storage,until revoked or account suspended,owner and platform,authenticated extension API,revoke endpoint or local disconnect,high,"dependencies.py:current_device; service-worker.js:deviceCredential"
PD-007,Device metadata,"label paired/last-used/revocation time",pairing and authenticated device use,device management,public platform,persistent,paired_devices,PLAINTEXT,not defined,owner and administrator,none,revocation changes status; no deletion,low,"models.py:PairedDevice; main.py:list_devices"
PD-008,Routine URL,"scheme hostname optional port",browser tab.url,URL model and activity explanation,extension platform detector,persistent minimized metadata plus transient full input,"activity_events.origin_encrypted; transient stores; chrome.storage.session",ENCRYPTED at rest for stored origin,activity 90 days; transient 600 seconds default,owner; administrator aggregate only,detector receives full tab URL; cloud receives origin only,activity cleanup tab close disconnect/revocation,medium,"main.py:normalized_origin and remote_url_detection; redaction.py"
PD-009,Explicit URL report,"complete URL including path query fragment",user report or explicit feedback,report review and possible future training,public platform,persistent,"url_reports; url_training_candidates",AES-256-GCM ciphertext,report 90 days; approved candidate retention not defined,report owner and administrator,none,report cleanup only; no candidate deletion route,high,"main.py:normalized_report_url; models.py:UrlReport/UrlTrainingCandidate"
PD-010,Routine email sender,"display name and address",visible opened Gmail Outlook or Yahoo message,model input,activity history and explanation,platform and detector,"activity_events.sender_encrypted; transient context; chrome.storage.session",AES-256-GCM at rest where stored,activity 90 days; transient 600 seconds default,owner and administrators for reports/exports,detector; redacted/minimized cloud context,activity cleanup; no separate metadata erasure,high,"main.py:remote_email_detection; models.py:ActivityEvent"
PD-011,Routine email subject,"subject text",visible opened supported email,message model input and explanation,platform and detector,"activity_events.subject_encrypted; transient context; chrome.storage.session",AES-256-GCM at rest where stored,activity 90 days; transient 600 seconds default,owner and administrators for reports/exports,detector; redacted cloud context,activity cleanup; no separate metadata erasure,medium,"main.py:remote_email_detection; event_view"
